id,created_time,updated_time,from_name,from_id,to_name,message,link,name,caption,description,source,type,place
462493170453287_686331714736097,2014-06-26T20:52:53+0000,2015-05-03T00:32:30+0000,,,"[{u'id': u'462493170453287', u'name': u'THE TENDER FOR LAW', u'privacy': u'OPEN'}]",,https://www.facebook.com/photo.php?fbid=10154349779030078&set=gm.686331714736097&type=3,,,,,photo,None
462493170453287_721785577857377,2014-09-19T15:49:04+0000,2015-04-12T02:44:29+0000,,,"[{u'id': u'462493170453287', u'name': u'THE TENDER FOR LAW', u'privacy': u'OPEN'}]","OK...I'm considering sending a praecipe to have the court clerk issue a rule to have the NATIONAL BANK file a valid complaint...in relation to the claim/default judgement the liar got against 2 persons who have a zero balance account...any thoughts?",,,,,,status,None
462493170453287_521202967915640,2013-06-05T14:17:08+0000,2015-02-28T00:54:36+0000,,,"[{u'id': u'462493170453287', u'name': u'THE TENDER FOR LAW', u'privacy': u'OPEN'}]","So...What do ya think?",https://www.facebook.com/photo.php?fbid=10201110145173219&set=gm.521202967915640&type=3,,,,,photo,None
462493170453287_760581837311084,2014-12-16T00:20:24+0000,2015-02-12T18:39:36+0000,,,"[{u'id': u'462493170453287', u'name': u'THE TENDER FOR LAW', u'privacy': u'OPEN'}]","http://www.rogerstv.com/page.aspx?lid=237&rid=16&sid=3431&gid=219569....................starting at minute 102:20, Chief Blair, Mayor Tory, rest of the Toronto Police Services Board, bunch of other high-ranking officers and the packed-house in attendance, have the definition for ""PERSON"" in the Criminal Code explained along with just WHO IS the SURETY for ""the person,"" by yours truly..Derek Moran",,,,,,status,None
462493170453287_751342834901651,2014-11-24T14:44:58+0000,2014-11-26T16:00:55+0000,,,"[{u'id': u'462493170453287', u'name': u'THE TENDER FOR LAW', u'privacy': u'OPEN'}]","Is thetenderforlaw.com still a go?",,,,,,status,None
462493170453287_494950437207560,2013-03-22T10:15:56+0000,2014-11-17T06:12:15+0000,,,"[{u'id': u'462493170453287', u'name': u'THE TENDER FOR LAW', u'privacy': u'OPEN'}]",,https://www.facebook.com/photo.php?fbid=10200702160253851&set=gm.494950437207560&type=3,,,,,photo,None
462493170453287_532494196786517,2013-07-03T17:02:59+0000,2016-03-31T19:57:06+0000,,,"[{u'id': u'462493170453287', u'name': u'THE TENDER FOR LAW', u'privacy': u'OPEN'}]","I can't find the thread where Scott mentioned that the banks exchange currency, so will start a new one to ask this. I want to be sure I comprehend this correctly. 

 For example, a loan, our signature creates the credit, the bank exchanges the credit for legal tender....how would you describe what is backing our signature to give us the power to create the credit? I know the banks suggestion we are in the debtor category and that our labour is what pays off the loan, which isn't accurate,  is it the security of the person/birth certificate that is the backing of our signature?",,,,,,status,None
462493170453287_742587035777231,2014-11-03T23:44:25+0000,2014-11-06T09:25:28+0000,,,"[{u'id': u'462493170453287', u'name': u'THE TENDER FOR LAW', u'privacy': u'OPEN'}, {u'name': u'Scott Duncan', u'id': u'927379467328526'}]","Scott Duncan  As  you know there is a liar who is intent on punishing me as an example for all others. Is it possible to offer a claim against him up for your takings or someone you know? I'm having difficulties with this and I feel that the only way for this clown to really appreciate the system he defends so viciously is to feel it's Wrath to the fullest. Would this be acceptable or of interest to you or one of your Captains?",,,,,,status,None
462493170453287_734402206595714,2014-10-16T19:31:43+0000,2014-10-16T19:31:43+0000,,,"[{u'id': u'462493170453287', u'name': u'THE TENDER FOR LAW', u'privacy': u'OPEN'}]","If a trusted person  places a lien on a court file/account, is there anything the trusted person needs to do if there are proceeds received into the liened account?",,,,,,status,None
462493170453287_727676567268278,2014-10-03T17:52:39+0000,2014-10-03T21:46:48+0000,,,"[{u'id': u'462493170453287', u'name': u'THE TENDER FOR LAW', u'privacy': u'OPEN'}]","Ok, I need some insight...LARRY received a notice of garnishment and a form to sign to garnish wages....it was returned with cause. The payroll lady said she phoned the court house and was instructed that she was to garnish the wages with this paperwork (the notice had a court clerks signature and the court stamp on it). This relates to the default judgement he lied to receive and the zero balance statement I have. The court file has been liened, a notice of mistake was sent, a request for a bill (again) was sent to the liar, is there anything  that has been missed?",,,,,,status,None
462493170453287_727680413934560,2014-10-03T18:02:27+0000,2014-10-03T20:14:41+0000,,,"[{u'id': u'462493170453287', u'name': u'THE TENDER FOR LAW', u'privacy': u'OPEN'}, {u'name': u'Scott Duncan', u'id': u'927379467328526'}]","Scott Duncan if I was going pursue an exparte order, the liar lives in Toronto, could I pursue it in Durham Region or would I have to take it to Toronto?",,,,,,status,None
